"Stage","OccupiedCells","Occupied_km2","Abundance","Normalized_Area_Abundance"
"425.875",1,311155.645384255,1,311155.645384255
"423.87",1,297843.794293456,1,297843.794293456
"402.405",5,1489325.90044201,14,106380.421460144
"389.8",1,304009.730460158,3,101336.576820053
"382.1",2,605059.486063536,12,50421.623838628
"365.2",1,299943.22315316,1,299943.22315316
"338.535",5,1502988.74612917,9,166998.749569907
"326.87",7,2149324.49914418,15,143288.299942945
"319.275",8,2449810.02346933,23,106513.479281275
"311.085",9,2751373.42859685,17,161845.495799814
"305.35",2,612499.889938113,11,55681.8081761921
"301.285",4,1226233.25886318,8,153279.157357897
"296.205",5,1522058.76887507,8,190257.346109383
"292.015",9,2732144.37165986,21,130102.112936184
"286.905",6,1822294.89813859,9,202477.210904288
"278.835",8,2398822.03690609,23,104296.610300265
"271.79",8,2393840.39528546,25,95753.6158114186
"266.775",5,1490171.4465033,16,93135.7154064564
"261.945",7,2133991.01892661,9,237110.113214068
"256.895",11,3355922.0064491,29,115721.448498245
"253.07",6,1852328.11648109,30,61744.2705493698
"250.89",8,2446071.88418427,15,163071.458945618
"248.29",3,908656.990801002,4,227164.24770025
"244.08",15,4606003.7144169,68,67735.348741425
"239.23",10,3076879.45881395,27,113958.498474591
"232.15",19,5802210.27765742,74,78408.2469953706
"218.405",22,6666566.35448569,48,138886.799051785
"205.435",14,4247694.77359437,100,42476.9477359437
"200.41",10,3028474.40693111,66,45885.9758625926
"196.18",14,4213485.4522687,113,37287.4818784841
"188.55",20,6069691.10383504,188,32285.5909778459
"179.45",19,5758254.96450585,199,28935.9545955068
"172.8",9,2744317.0523925,25,109772.6820957
"169.535",15,4468274.28428931,49,91189.2711079452
"166.73",21,6351565.2108705,214,29680.21126575
"163.41",22,6518076.03131808,274,23788.5986544456
"158.155",30,9063902.21036067,298,30415.7792293982
"152.01",23,6949739.32485463,255,27253.8797053123
"146.17",12,3635111.52812098,96,37865.7450845935
"140.4",7,2110504.19750365,8,263813.024687957
"135.15",13,3919184.78643046,30,130639.492881015
"129.55",8,2417483.09953947,22,109885.595433612
"123.95",8,2414108.86940217,10,241410.886940217
"117.3",13,3927805.4717303,58,67720.7839953499
"106.85",20,6079099.84177519,85,71518.8216679434
"97.2",17,5136248.00563654,126,40763.8730606074
"91.645",16,4851318.33607378,41,118324.837465214
"87.545",6,1813542.76714839,11,164867.524286217
"84.675",5,1520258.71539384,15,101350.581026256
"77.91",26,7862200.69510406,75,104829.342601387
"69.105",48,14532846.4190263,402,36151.3592513091
"63.85",16,4845549.07287333,45,107678.868286074
"52.035",23,6929872.83357674,107,64765.1666689415
"44.55",28,8434406.18033318,120,70286.7181694432
"39.37",17,5041604.67447682,86,58623.3101683351
"35.805",28,8493056.97600383,102,83265.2644706258
"30.595",30,9061326.99128397,130,69702.515317569
"25.165",21,6423328.83390888,114,56344.9897711306
"13.81",29,8836280.78440459,204,43315.1018843362
"3.96",42,12547768.1658241,152,82551.1063541058
"1.30085",78,23340147.5154747,492,47439.3242184445
"0.00585",24,7283409.15857082,81,89918.6315872941
